             id, type,      total ops,    op/s,    pk/s,   row/s,    mean,     med,     .95,     .99,    .999,     max,   time,   stderr, errors,  gc: #,  max ms,  sum ms,  sdv ms,      mb
  4 threadCount, READ,         313432,   10411,   10411,   10411,     0.4,     0.3,     0.5,     0.5,     0.6,    11.3,   30.1,  0.00797,      0,      0,       0,       0,       0,       0
  8 threadCount, READ,         700803,   23273,   23273,   23273,     0.3,     0.3,     0.4,     0.5,     0.5,    44.4,   30.1,  0.00463,      0,      0,       0,       0,       0,       0
 16 threadCount, READ,        1275974,   42373,   42373,   42373,     0.4,     0.4,     0.5,     0.5,     0.8,    41.3,   30.1,  0.00547,      0,      0,       0,       0,       0,       0
 24 threadCount, READ,        1676862,   55620,   55620,   55620,     0.4,     0.4,     0.5,     0.6,     1.4,    45.5,   30.1,  0.01656,      0,      0,       0,       0,       0,       0
 36 threadCount, READ,        2142818,   70980,   70980,   70980,     0.5,     0.5,     0.7,     0.8,     1.5,    46.4,   30.2,  0.01335,      0,      0,       0,       0,       0,       0
 54 threadCount, READ,        2675056,   88402,   88402,   88402,     0.6,     0.6,     0.8,     1.0,     1.8,    24.7,   30.3,  0.01717,      0,      0,       0,       0,       0,       0
 81 threadCount, READ,        3275727,  107709,  107709,  107709,     0.7,     0.7,     1.0,     1.2,     2.5,    57.8,   30.4,  0.00514,      0,      0,       0,       0,       0,       0
121 threadCount, READ,        3940403,  129511,  129511,  129511,     0.9,     0.9,     1.3,     1.5,     3.4,    37.8,   30.4,  0.00685,      0,      0,       0,       0,       0,       0
181 threadCount, READ,        4532123,  148565,  148565,  148565,     1.2,     1.1,     1.7,     2.1,     5.5,    48.6,   30.5,  0.00638,      0,      0,       0,       0,       0,       0
271 threadCount, READ,        4963787,  161763,  161763,  161763,     1.7,     1.6,     2.4,     3.1,     7.0,   102.5,   30.7,  0.00631,      0,      0,       0,       0,       0,       0
406 threadCount, READ,        5169650,  168507,  168507,  168507,     2.4,     2.2,     3.6,     5.0,    11.5,    89.2,   30.7,  0.00959,      0,      0,       0,       0,       0,       0
609 threadCount, READ,        5328370,  173378,  173378,  173378,     3.5,     3.2,     5.5,     7.6,    15.6,   130.9,   30.7,  0.01804,      0,      0,       0,       0,       0,       0
913 threadCount, READ,        5271849,  170702,  170702,  170702,     5.3,     4.7,     8.2,    12.1,    75.0,   147.6,   30.9,  0.01260,      0,      0,       0,       0,       0,       0
