             id, type,      total ops,    op/s,    pk/s,   row/s,    mean,     med,     .95,     .99,    .999,     max,   time,   stderr, errors,  gc: #,  max ms,  sum ms,  sdv ms,      mb
  4 threadCount, WRITE,        215718,    7152,    7152,    7152,     0.5,     0.4,     1.1,     1.9,     2.6,    22.8,   30.2,  0.01376,      0,      0,       0,       0,       0,       0
  8 threadCount, WRITE,        400344,   13292,   13292,   13292,     0.6,     0.4,     1.5,     2.9,     3.6,    25.7,   30.1,  0.00234,      0,      0,       0,       0,       0,       0
 16 threadCount, WRITE,        756914,   25086,   25086,   25086,     0.6,     0.4,     1.6,     3.2,     4.4,   130.4,   30.2,  0.00609,      0,      0,       0,       0,       0,       0
 24 threadCount, WRITE,        940811,   31129,   31129,   31129,     0.7,     0.5,     2.3,     3.7,     5.1,    49.8,   30.2,  0.00260,      0,      0,       0,       0,       0,       0
 36 threadCount, WRITE,       1244670,   41134,   41134,   41134,     0.8,     0.5,     2.8,     4.0,     5.6,    39.8,   30.3,  0.00371,      0,      0,       0,       0,       0,       0
 54 threadCount, WRITE,       1580000,   52130,   52130,   52130,     1.0,     0.6,     3.1,     4.5,     6.4,    65.1,   30.3,  0.00530,      0,      0,       0,       0,       0,       0
 81 threadCount, WRITE,       1973255,   64718,   64718,   64718,     1.2,     0.7,     3.4,     4.8,    14.7,   114.5,   30.5,  0.01132,      0,      0,       0,       0,       0,       0
121 threadCount, WRITE,       2461602,   80550,   80550,   80550,     1.5,     0.9,     3.6,     4.8,    17.3,    93.3,   30.6,  0.01307,      0,      0,       0,       0,       0,       0
181 threadCount, WRITE,       3182611,  103527,  103527,  103527,     1.7,     1.2,     3.5,     4.4,    18.9,   197.4,   30.7,  0.01355,      0,      0,       0,       0,       0,       0
271 threadCount, WRITE,       3788129,  106973,  106973,  106973,     2.5,     1.8,     4.0,     4.9,    76.8,   333.3,   35.4,  0.02076,      0,      0,       0,       0,       0,       0
406 threadCount, WRITE,       4416749,  142468,  142468,  142468,     2.8,     2.4,     4.3,     5.4,    64.6,   520.3,   31.0,  0.01602,      0,      0,       0,       0,       0,       0
609 threadCount, WRITE,       4611283,  147382,  147382,  147382,     4.1,     3.6,     6.1,     7.7,    86.9,   259.0,   31.3,  0.02020,      0,      0,       0,       0,       0,       0
913 threadCount, WRITE,       4690879,  147514,  147514,  147514,     6.2,     4.9,     8.8,    30.3,   129.0,   312.3,   31.8,  0.02425,      0,      0,       0,       0,       0,       0
