type,objsz,workers,bandwidth
put,262144,128,166
get,262144,128,301
put,262144,256,205
get,262144,256,300
put,262144,512,203
get,262144,512,281
put,262144,1024,147
get,262144,1024,203
put,1048576,128,340
get,1048576,128,862
put,1048576,256,402
get,1048576,256,899
put,1048576,512,473
get,1048576,512,715
put,1048576,1024,475
get,1048576,1024,915
put,2097152,128,450
get,2097152,128,1441
put,2097152,256,731
get,2097152,256,1748
put,2097152,512,623
get,2097152,512,1569
put,2097152,1024,932
get,2097152,1024,1185
put,4194304,128,643
get,4194304,128,2756
put,4194304,256,1102
get,4194304,256,2543
put,4194304,512,1133
get,4194304,512,3172
put,4194304,1024,1087
get,4194304,1024,2881
put,8388608,128,1144
get,8388608,128,2984
put,8388608,256,1334
get,8388608,256,3486
put,8388608,512,1390
get,8388608,512,3656
put,8388608,1024,1836
get,8388608,1024,4283
